iteration,loss
0,0.133364901
1,0.09789478
2,0.084050365
3,0.078401059
4,0.069581568
5,0.064599372
6,0.062890247
7,0.056326788
8,0.056126613
9,0.048976179
10,0.048034739
11,0.045652006
12,0.041134145
13,0.039185666
14,0.040280446
15,0.038685448
16,0.03397426
17,0.039608967
18,0.034250401
19,0.032761544
20,0.032449421
21,0.034763653
22,0.03124794
23,0.034624401
24,0.028154749
25,0.028686758
26,0.030469965
27,0.029166836
28,0.026031509
29,0.022279065
30,0.024671936
31,0.025366172
32,0.025230721
33,0.022522159
34,0.023546752
35,0.021271061
36,0.023211913
37,0.021062851
38,0.023506925
39,0.022798948
40,0.018702846
41,0.019440357
42,0.018140638
43,0.01646602
44,0.021079887
45,0.018591259
46,0.015967168
47,0.019338269
48,0.01728534
49,0.020447185
50,0.018725885
51,0.018112645
52,0.015249552
53,0.017370347
54,0.013953624
55,0.014622682
56,0.013737394
57,0.015619143
58,0.016789421
59,0.0170529
60,0.014760961
61,0.012773786
62,0.014589967
63,0.013429211
64,0.014209371
65,0.014543451
66,0.013289821
67,0.015839225
68,0.013865301
69,0.013229838
70,0.014653802
71,0.01363242
72,0.012711061
73,0.012725092
74,0.011235162
75,0.015975283
76,0.013286582
77,0.01318745
78,0.010982989
79,0.011759033
80,0.012037798
81,0.01129217
82,0.010173297
83,0.010873956
84,0.009496114
85,0.0179919
86,0.011859866
87,0.009466484
88,0.010631889
89,0.010785729
90,0.009835325
91,0.010594556
92,0.012194898
93,0.010199472
94,0.008838624
95,0.009404375
96,0.008980571
97,0.010721858
98,0.009014137
99,0.010078055
100,0.008113528
101,0.008580565
102,0.011069323
103,0.010116978
104,0.010132435
105,0.00776941
106,0.008933587
107,0.007595631
108,0.009224353
109,0.009381767
110,0.009006513
111,0.007460895
112,0.007015246
113,0.007645942
114,0.006860699
115,0.008592219
116,0.007133098
117,0.007498356
118,0.007455264
119,0.006977195
120,0.008485772
121,0.006657681
122,0.008518337
123,0.008580564
124,0.007395226
125,0.007754397
126,0.00712405
127,0.007379411
128,0.007008163
129,0.005928668
130,0.010084247
131,0.007505627
132,0.006372785
133,0.007307878
134,0.006579897
135,0.007196653
136,0.006798804
137,0.007003454
138,0.005965766
139,0.008927462
140,0.006460937
141,0.007977216
142,0.006648479
143,0.007477745
144,0.006277456
145,0.006293188
146,0.005773718
147,0.005975517
148,0.005731956
149,0.009509852
150,0.005910631
151,0.007594473
152,0.008726977
153,0.007373118
154,0.008381967
155,0.006229459
156,0.006238756
157,0.00577479
158,0.007431785
159,0.005568997
160,0.005763564
161,0.006484048
162,0.006340564
163,0.011750475
164,0.007242886
165,0.006206847
166,0.007359257
167,0.006058286
168,0.00619748
169,0.006324294
170,0.009709201
171,0.006985458
172,0.006277309
173,0.006357052
174,0.007068099
175,0.006258154
176,0.006377735
177,0.006190147
178,0.006642074
179,0.005788443
180,0.005476135
181,0.005976672
182,0.006567562
183,0.005411011
184,0.008856194
185,0.006127552
186,0.008368822
187,0.00628734
188,0.006516963
189,0.005575747
190,0.006224898
191,0.006358807
192,0.006318339
193,0.007173472
194,0.006273265
195,0.005325891
196,0.006036192
197,0.005780383
198,0.005186701
199,0.006037151
200,0.006188596
201,0.005021267
202,0.005048516
203,0.004357382
204,0.004698904
205,0.00515508
206,0.004972278
207,0.004728499
208,0.005501851
209,0.00501138
210,0.005569958
211,0.00442002
212,0.005676656
213,0.005695569
214,0.004904562
215,0.004879528
216,0.005655963
217,0.004473674
218,0.005244393
219,0.005365783
220,0.00495896
221,0.007689449
222,0.006489988
223,0.005145393
224,0.005040028
225,0.005904767
226,0.004859752
227,0.004667152
228,0.007297362
229,0.004563685
230,0.004468243
231,0.004666525
232,0.004544273
233,0.004568137
234,0.005165173
235,0.003991179
236,0.005105328
237,0.004290333
238,0.00465871
239,0.005108882
240,0.004149629
241,0.004609939
242,0.005179511
243,0.004612247
244,0.00586997
245,0.005153044
246,0.004662446
247,0.00440304
248,0.004300136
249,0.004425126
250,0.003996699
251,0.00514787
252,0.004373819
253,0.004435878
254,0.003908714
255,0.004083147
256,0.004520439
257,0.003885801
258,0.003735338
259,0.003995715
260,0.003833642
261,0.004036796
262,0.004089688
263,0.00546885
264,0.003698134
265,0.00357939
266,0.004024121
267,0.005511445
268,0.003520831
269,0.004982416
270,0.004042107
271,0.003971507
272,0.003687019
273,0.004055416
274,0.003072229
275,0.003587944
276,0.003687629
277,0.004920393
278,0.003646335
279,0.003887922
280,0.004095118
281,0.003558114
282,0.002892609
283,0.00345309
284,0.004000976
285,0.003630242
286,0.004216034
287,0.003491019
288,0.003407351
289,0.002995507
290,0.003395471
291,0.004726302
292,0.003081125
293,0.003792813
294,0.003396735
295,0.003081458
296,0.003709373
297,0.004972277
298,0.003442887
299,0.004833873
300,0.00342736
301,0.003468842
302,0.003429351
303,0.003389655
304,0.003294829
305,0.003248864
306,0.003157769
307,0.00328966
308,0.002897977
309,0.003373543
310,0.004034765
311,0.003644119
312,0.004042121
313,0.002996487
314,0.00304697
315,0.00309577
316,0.00314436
317,0.002991596
318,0.003785416
319,0.00307883
320,0.005180389
321,0.002892264
322,0.002595742
323,0.003367663
324,0.003105515
325,0.003264626
326,0.003317664
327,0.003083949
328,0.003193879
329,0.00304927
330,0.002964918
331,0.002986806
332,0.002979509
333,0.003715994
334,0.003235803
335,0.003579295
336,0.00499162
337,0.003113538
338,0.003234182
339,0.003255079
340,0.003620444
341,0.003349432
342,0.003725724
343,0.002924546
344,0.003731824
345,0.003984996
346,0.003091029
347,0.003982554
348,0.003652149
349,0.003706116
350,0.003361132
351,0.003070682
352,0.002837603
353,0.00325537
354,0.002999086
355,0.002710411
356,0.002564517
357,0.00412202
358,0.002379712
359,0.003637771
360,0.002942426
361,0.002831846
362,0.003246355
363,0.00301892
364,0.003386022
365,0.003268403
366,0.002575586
367,0.003362165
368,0.002977009
369,0.002839855
370,0.002613267
371,0.002467871
372,0.002882124
373,0.00288781
374,0.002774892
375,0.003003348
376,0.002833391
377,0.002931982
378,0.002676395
379,0.002571069
380,0.003393501
381,0.002429382
382,0.002854059
383,0.00288417
384,0.002954238
385,0.002277215
386,0.002773236
387,0.002420332
388,0.002625403
389,0.002742927
390,0.002703399
391,0.002483631
392,0.00222849
393,0.002322048
394,0.002521973
395,0.003056508
396,0.002407823
397,0.00276122
398,0.002575973
399,0.003654357
400,0.002669309
401,0.00280963
402,0.003032101
403,0.002539213
404,0.00261272
405,0.002415136
406,0.002493429
407,0.002530688
408,0.002744382
409,0.002900553
410,0.002432546
411,0.003218454
412,0.002619003
413,0.002835172
414,0.002991798
415,0.002911896
416,0.0029172
417,0.002808574
418,0.002683226
419,0.002544892
