iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
1246,8,70,168,0.0062029,0.034388
1251,8,75,168,0.004355,0.034257
1256,8,80,168,0.00041223,0.034142
1261,8,85,168,0.025342,0.034056
1266,8,90,168,0.00063138,0.03393
1271,8,95,168,0.0016195,0.033804
1276,8,100,168,0.0037159,0.033731
1281,8,105,168,0.0024384,0.033608
1286,8,110,168,0.0015835,0.033501
1291,8,115,168,0.0009868,0.03339
1296,8,120,168,0.00077156,0.033279
1301,8,125,168,0.0010311,0.033171
1306,8,130,168,0.0055834,0.033066
1311,8,135,168,0.00112,0.032957
1316,8,140,168,0.00082154,0.032869
1321,8,145,168,0.0084288,0.032771
1326,8,150,168,0.00063367,0.032659
1331,8,155,168,0.001476,0.032541
1336,8,160,168,0.013115,0.032433
1341,8,165,168,0.0057576,0.03232
1512,10,0,168,0.00031053,0.029407
1517,10,5,168,0.0060521,0.029321
1522,10,10,168,0.010003,0.029247
1527,10,15,168,0.013945,0.029166
1532,10,20,168,0.0052749,0.029098
1537,10,25,168,0.0070687,0.029033
1542,10,30,168,0.034593,0.028971
1547,10,35,168,0.0080441,0.028912
1552,10,40,168,0.035573,0.028896
1557,10,45,168,0.006007,0.028878
1562,10,50,168,0.0007411,0.028803
1567,10,55,168,0.005461,0.028741
1572,10,60,168,0.0036132,0.028677
1577,10,65,168,0.0036636,0.028599
1582,10,70,168,0.0029845,0.028532
1587,10,75,168,0.001932,0.028478
1592,10,80,168,0.012881,0.028401
1597,10,85,168,0.029011,0.028353
1602,10,90,168,0.009937,0.028317
1607,10,95,168,0.00038946,0.028244
1612,10,100,168,0.015073,0.028194
1617,10,105,168,0.0034256,0.028126
1622,10,110,168,0.0023287,0.028058
1627,10,115,168,0.017024,0.027987
1632,10,120,168,0.00046489,0.027916
1637,10,125,168,0.013913,0.027862
1642,10,130,168,0.00061876,0.027795
1647,10,135,168,0.0030851,0.027717
1652,10,140,168,0.02618,0.027658
1657,10,145,168,0.00028093,0.027575
1662,10,150,168,0.00010448,0.027501
1667,10,155,168,0.00044059,0.027432
1672,10,160,168,0.00061371,0.027352
1677,10,165,168,0.011299,0.027288
1848,12,0,168,0.0020336,0.025397
1853,12,5,168,0.00028653,0.025353
1858,12,10,168,0.0039661,0.025288
1863,12,15,168,0.00040464,0.025277
1868,12,20,168,0.00023071,0.025226
1873,12,25,168,0.0029588,0.025192
1878,12,30,168,0.0047026,0.02514
