[2024-07-02 13:18:58] [PID 0] [INFO] Load config successfully!
[2024-07-02 13:18:58] [PID 0] [INFO] {'batch_size': 512,
 'ckpt_path': 'checkpoints/checkpoint_0',
 'comment': 'no comments',
 'continuous_train': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0.25,
 'dtype': torch.float32,
 'epochs': 500,
 'experiment_name': '0',
 'figs_train': 'figs/train_0.pdf',
 'head_output_dim': 2,
 'load_pretrain': True,
 'log_batch_freq': 5,
 'log_epoch_freq': 2,
 'log_file': 'logs/out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 8,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'negative': 'processed_negative',
                   'positive': 'processed_positive'},
 'radius': 20,
 'random_seed': 666,
 'ratio': 711,
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 5,
 'shuffle': True,
 'step': 0.2,
 'weight_decay': 0}
[2024-07-02 13:18:58] [PID 0] [INFO] Load data...
[2024-07-02 13:18:58] [PID 0] [INFO] Process...
[2024-07-02 13:19:35] [PID 0] [INFO] Total number of data points: 85590
[2024-07-02 13:19:35] [PID 0] [INFO] Number of batches per epoch: 168
[2024-07-02 13:19:39] [PID 0] [INFO] Train...
[2024-07-02 14:39:39] [PID 0] [INFO] [Train] Epoch [80/500] [135/168]	 BT 0.355 (0.357)	 DT 0.011 (0.020)	 Loss 2.0641e-06 (5.4330e-03)	
[2024-07-02 14:39:40] [PID 0] [INFO] [Train] Epoch [80/500] [140/168]	 BT 0.332 (0.357)	 DT 0.010 (0.020)	 Loss 2.6319e-06 (5.4310e-03)	
[2024-07-02 14:39:42] [PID 0] [INFO] [Train] Epoch [80/500] [145/168]	 BT 0.341 (0.357)	 DT 0.010 (0.020)	 Loss 3.5094e-06 (5.4290e-03)	
[2024-07-02 14:39:44] [PID 0] [INFO] [Train] Epoch [80/500] [150/168]	 BT 0.348 (0.357)	 DT 0.015 (0.020)	 Loss 5.8043e-07 (5.4269e-03)	
[2024-07-02 14:39:46] [PID 0] [INFO] [Train] Epoch [80/500] [155/168]	 BT 0.347 (0.357)	 DT 0.010 (0.020)	 Loss 4.9844e-06 (5.4249e-03)	
[2024-07-02 14:39:47] [PID 0] [INFO] [Train] Epoch [80/500] [160/168]	 BT 0.344 (0.357)	 DT 0.011 (0.020)	 Loss 3.8728e-06 (5.4229e-03)	
[2024-07-02 14:39:49] [PID 0] [INFO] [Train] Epoch [80/500] [165/168]	 BT 0.344 (0.357)	 DT 0.015 (0.020)	 Loss 1.8783e-06 (5.4209e-03)	
[2024-07-02 14:40:51] [PID 0] [INFO] [Train] Epoch [82/500] [0/168]	 BT 1.458 (0.357)	 DT 1.101 (0.020)	 Loss 2.3597e-04 (5.4720e-03)	
[2024-07-02 14:40:53] [PID 0] [INFO] [Train] Epoch [82/500] [5/168]	 BT 0.335 (0.357)	 DT 0.011 (0.020)	 Loss 7.0523e-03 (5.4706e-03)	
[2024-07-02 14:40:55] [PID 0] [INFO] [Train] Epoch [82/500] [10/168]	 BT 0.355 (0.357)	 DT 0.010 (0.020)	 Loss 2.2985e-02 (5.4714e-03)	
[2024-07-02 14:40:57] [PID 0] [INFO] [Train] Epoch [82/500] [15/168]	 BT 0.348 (0.357)	 DT 0.011 (0.020)	 Loss 2.7059e-03 (5.4717e-03)	
[2024-07-02 14:40:58] [PID 0] [INFO] [Train] Epoch [82/500] [20/168]	 BT 0.375 (0.357)	 DT 0.011 (0.020)	 Loss 1.8619e-03 (5.4701e-03)	
[2024-07-02 14:41:00] [PID 0] [INFO] [Train] Epoch [82/500] [25/168]	 BT 0.360 (0.357)	 DT 0.011 (0.020)	 Loss 8.4809e-04 (5.4687e-03)	
[2024-07-02 14:41:02] [PID 0] [INFO] [Train] Epoch [82/500] [30/168]	 BT 0.342 (0.357)	 DT 0.011 (0.020)	 Loss 9.5913e-03 (5.4674e-03)	
[2024-07-02 14:41:04] [PID 0] [INFO] [Train] Epoch [82/500] [35/168]	 BT 0.341 (0.357)	 DT 0.010 (0.020)	 Loss 1.5217e-03 (5.4657e-03)	
[2024-07-02 14:41:06] [PID 0] [INFO] [Train] Epoch [82/500] [40/168]	 BT 0.359 (0.357)	 DT 0.011 (0.020)	 Loss 9.3743e-05 (5.4646e-03)	
[2024-07-02 14:41:07] [PID 0] [INFO] [Train] Epoch [82/500] [45/168]	 BT 0.342 (0.357)	 DT 0.011 (0.020)	 Loss 1.1779e-04 (5.4638e-03)	
[2024-07-02 14:41:09] [PID 0] [INFO] [Train] Epoch [82/500] [50/168]	 BT 0.351 (0.357)	 DT 0.011 (0.020)	 Loss 1.5429e-03 (5.4622e-03)	
[2024-07-02 14:41:11] [PID 0] [INFO] [Train] Epoch [82/500] [55/168]	 BT 0.369 (0.357)	 DT 0.015 (0.020)	 Loss 1.4996e-04 (5.4607e-03)	
[2024-07-02 14:41:13] [PID 0] [INFO] [Train] Epoch [82/500] [60/168]	 BT 0.328 (0.357)	 DT 0.011 (0.020)	 Loss 1.0389e-04 (5.4588e-03)	
[2024-07-02 14:41:14] [PID 0] [INFO] [Train] Epoch [82/500] [65/168]	 BT 0.343 (0.357)	 DT 0.011 (0.020)	 Loss 2.6987e-04 (5.4569e-03)	
[2024-07-02 14:41:16] [PID 0] [INFO] [Train] Epoch [82/500] [70/168]	 BT 0.387 (0.357)	 DT 0.011 (0.020)	 Loss 1.8959e-04 (5.4550e-03)	
[2024-07-02 14:41:18] [PID 0] [INFO] [Train] Epoch [82/500] [75/168]	 BT 0.343 (0.357)	 DT 0.011 (0.020)	 Loss 2.1868e-04 (5.4530e-03)	
[2024-07-02 14:41:20] [PID 0] [INFO] [Train] Epoch [82/500] [80/168]	 BT 0.340 (0.357)	 DT 0.011 (0.020)	 Loss 5.7389e-05 (5.4513e-03)	
[2024-07-02 14:41:21] [PID 0] [INFO] [Train] Epoch [82/500] [85/168]	 BT 0.371 (0.357)	 DT 0.011 (0.020)	 Loss 5.0807e-04 (5.4494e-03)	
[2024-07-02 14:41:23] [PID 0] [INFO] [Train] Epoch [82/500] [90/168]	 BT 0.355 (0.357)	 DT 0.011 (0.020)	 Loss 7.5715e-05 (5.4475e-03)	
[2024-07-02 14:41:25] [PID 0] [INFO] [Train] Epoch [82/500] [95/168]	 BT 0.334 (0.357)	 DT 0.011 (0.020)	 Loss 7.8145e-05 (5.4456e-03)	
[2024-07-02 14:41:27] [PID 0] [INFO] [Train] Epoch [82/500] [100/168]	 BT 0.339 (0.357)	 DT 0.010 (0.020)	 Loss 3.4521e-05 (5.4437e-03)	
[2024-07-02 14:41:28] [PID 0] [INFO] [Train] Epoch [82/500] [105/168]	 BT 0.334 (0.357)	 DT 0.010 (0.020)	 Loss 3.1654e-05 (5.4417e-03)	
[2024-07-02 14:41:30] [PID 0] [INFO] [Train] Epoch [82/500] [110/168]	 BT 0.346 (0.357)	 DT 0.011 (0.020)	 Loss 5.0855e-03 (5.4401e-03)	
[2024-07-02 14:41:32] [PID 0] [INFO] [Train] Epoch [82/500] [115/168]	 BT 0.359 (0.357)	 DT 0.011 (0.020)	 Loss 5.3854e-05 (5.4393e-03)	
[2024-07-02 14:41:34] [PID 0] [INFO] [Train] Epoch [82/500] [120/168]	 BT 0.347 (0.357)	 DT 0.011 (0.020)	 Loss 7.1963e-05 (5.4375e-03)	
[2024-07-02 14:41:36] [PID 0] [INFO] [Train] Epoch [82/500] [125/168]	 BT 0.348 (0.357)	 DT 0.011 (0.020)	 Loss 5.8717e-05 (5.4356e-03)	
[2024-07-02 14:41:37] [PID 0] [INFO] [Train] Epoch [82/500] [130/168]	 BT 0.356 (0.357)	 DT 0.010 (0.020)	 Loss 4.4357e-05 (5.4336e-03)	
[2024-07-02 14:41:39] [PID 0] [INFO] [Train] Epoch [82/500] [135/168]	 BT 0.342 (0.357)	 DT 0.011 (0.020)	 Loss 1.3387e-04 (5.4317e-03)	
[2024-07-02 14:41:41] [PID 0] [INFO] [Train] Epoch [82/500] [140/168]	 BT 0.335 (0.357)	 DT 0.013 (0.020)	 Loss 9.9521e-03 (5.4311e-03)	
[2024-07-02 14:41:42] [PID 0] [INFO] [Train] Epoch [82/500] [145/168]	 BT 0.342 (0.357)	 DT 0.011 (0.020)	 Loss 2.7095e-04 (5.4292e-03)	
[2024-07-02 14:41:44] [PID 0] [INFO] [Train] Epoch [82/500] [150/168]	 BT 0.360 (0.357)	 DT 0.015 (0.020)	 Loss 7.8400e-03 (5.4279e-03)	
[2024-07-02 14:41:46] [PID 0] [INFO] [Train] Epoch [82/500] [155/168]	 BT 0.347 (0.357)	 DT 0.010 (0.020)	 Loss 6.6532e-04 (5.4278e-03)	
[2024-07-02 14:41:48] [PID 0] [INFO] [Train] Epoch [82/500] [160/168]	 BT 0.331 (0.357)	 DT 0.010 (0.020)	 Loss 2.5100e-04 (5.4259e-03)	
[2024-07-02 14:41:50] [PID 0] [INFO] [Train] Epoch [82/500] [165/168]	 BT 0.333 (0.357)	 DT 0.010 (0.020)	 Loss 4.2939e-05 (5.4239e-03)	
[2024-07-02 14:42:51] [PID 0] [INFO] [Train] Epoch [84/500] [0/168]	 BT 1.305 (0.357)	 DT 0.988 (0.020)	 Loss 4.0087e-05 (5.3701e-03)	
[2024-07-02 14:42:52] [PID 0] [INFO] [Train] Epoch [84/500] [5/168]	 BT 0.332 (0.357)	 DT 0.010 (0.020)	 Loss 1.8802e-05 (5.3684e-03)	
[2024-07-02 14:42:54] [PID 0] [INFO] [Train] Epoch [84/500] [10/168]	 BT 0.345 (0.357)	 DT 0.011 (0.020)	 Loss 1.1063e-02 (5.3697e-03)	
[2024-07-02 14:42:56] [PID 0] [INFO] [Train] Epoch [84/500] [15/168]	 BT 0.356 (0.357)	 DT 0.010 (0.020)	 Loss 3.6089e-02 (5.3726e-03)	
[2024-07-02 14:42:58] [PID 0] [INFO] [Train] Epoch [84/500] [20/168]	 BT 0.334 (0.357)	 DT 0.011 (0.020)	 Loss 1.7870e-03 (5.3731e-03)	
[2024-07-02 14:42:59] [PID 0] [INFO] [Train] Epoch [84/500] [25/168]	 BT 0.345 (0.357)	 DT 0.011 (0.020)	 Loss 2.0050e-03 (5.3725e-03)	
[2024-07-02 14:43:01] [PID 0] [INFO] [Train] Epoch [84/500] [30/168]	 BT 0.337 (0.357)	 DT 0.011 (0.020)	 Loss 2.6863e-04 (5.3714e-03)	
[2024-07-02 14:43:03] [PID 0] [INFO] [Train] Epoch [84/500] [35/168]	 BT 0.357 (0.357)	 DT 0.011 (0.020)	 Loss 1.4636e-04 (5.3699e-03)	
[2024-07-02 14:43:05] [PID 0] [INFO] [Train] Epoch [84/500] [40/168]	 BT 0.329 (0.357)	 DT 0.010 (0.020)	 Loss 6.0668e-04 (5.3681e-03)	
[2024-07-02 14:43:07] [PID 0] [INFO] [Train] Epoch [84/500] [45/168]	 BT 0.374 (0.357)	 DT 0.012 (0.020)	 Loss 1.8496e-04 (5.3663e-03)	
[2024-07-02 14:43:09] [PID 0] [INFO] [Train] Epoch [84/500] [50/168]	 BT 0.340 (0.357)	 DT 0.011 (0.020)	 Loss 2.3916e-04 (5.3647e-03)	
[2024-07-02 14:43:10] [PID 0] [INFO] [Train] Epoch [84/500] [55/168]	 BT 0.321 (0.357)	 DT 0.010 (0.020)	 Loss 1.3292e-04 (5.3628e-03)	
[2024-07-02 14:43:12] [PID 0] [INFO] [Train] Epoch [84/500] [60/168]	 BT 0.348 (0.357)	 DT 0.010 (0.020)	 Loss 7.7142e-05 (5.3623e-03)	
[2024-07-02 14:43:14] [PID 0] [INFO] [Train] Epoch [84/500] [65/168]	 BT 0.342 (0.357)	 DT 0.011 (0.020)	 Loss 3.1251e-04 (5.3605e-03)	
[2024-07-02 14:43:16] [PID 0] [INFO] [Train] Epoch [84/500] [70/168]	 BT 0.329 (0.357)	 DT 0.011 (0.020)	 Loss 2.8878e-05 (5.3599e-03)	
[2024-07-02 14:43:17] [PID 0] [INFO] [Train] Epoch [84/500] [75/168]	 BT 0.357 (0.357)	 DT 0.011 (0.020)	 Loss 1.1697e-03 (5.3581e-03)	
[2024-07-02 14:43:19] [PID 0] [INFO] [Train] Epoch [84/500] [80/168]	 BT 0.341 (0.357)	 DT 0.011 (0.020)	 Loss 1.1742e-03 (5.3564e-03)	
[2024-07-02 14:43:21] [PID 0] [INFO] [Train] Epoch [84/500] [85/168]	 BT 0.328 (0.357)	 DT 0.011 (0.020)	 Loss 6.8592e-05 (5.3548e-03)	
[2024-07-02 14:43:23] [PID 0] [INFO] [Train] Epoch [84/500] [90/168]	 BT 0.339 (0.357)	 DT 0.010 (0.020)	 Loss 8.8828e-05 (5.3544e-03)	
[2024-07-02 14:43:25] [PID 0] [INFO] [Train] Epoch [84/500] [95/168]	 BT 0.339 (0.357)	 DT 0.014 (0.020)	 Loss 1.0979e-04 (5.3538e-03)	
[2024-07-02 14:43:26] [PID 0] [INFO] [Train] Epoch [84/500] [100/168]	 BT 0.353 (0.357)	 DT 0.011 (0.020)	 Loss 9.1031e-05 (5.3520e-03)	
[2024-07-02 14:43:28] [PID 0] [INFO] [Train] Epoch [84/500] [105/168]	 BT 0.357 (0.357)	 DT 0.011 (0.020)	 Loss 1.1036e-04 (5.3502e-03)	
[2024-07-02 14:43:30] [PID 0] [INFO] [Train] Epoch [84/500] [110/168]	 BT 0.335 (0.357)	 DT 0.011 (0.020)	 Loss 8.3737e-04 (5.3496e-03)	
[2024-07-02 14:43:32] [PID 0] [INFO] [Train] Epoch [84/500] [115/168]	 BT 0.345 (0.357)	 DT 0.011 (0.020)	 Loss 1.3937e-04 (5.3479e-03)	
[2024-07-02 14:43:34] [PID 0] [INFO] [Train] Epoch [84/500] [120/168]	 BT 0.327 (0.357)	 DT 0.011 (0.020)	 Loss 1.7610e-04 (5.3460e-03)	
[2024-07-02 14:43:36] [PID 0] [INFO] [Train] Epoch [84/500] [125/168]	 BT 0.348 (0.357)	 DT 0.011 (0.020)	 Loss 1.2308e-04 (5.3441e-03)	
[2024-07-02 14:43:38] [PID 0] [INFO] [Train] Epoch [84/500] [130/168]	 BT 0.355 (0.357)	 DT 0.010 (0.020)	 Loss 8.9449e-04 (5.3424e-03)	
[2024-07-02 14:43:40] [PID 0] [INFO] [Train] Epoch [84/500] [135/168]	 BT 0.354 (0.357)	 DT 0.011 (0.020)	 Loss 2.2125e-03 (5.3408e-03)	
[2024-07-02 14:43:42] [PID 0] [INFO] [Train] Epoch [84/500] [140/168]	 BT 0.355 (0.357)	 DT 0.011 (0.020)	 Loss 8.9441e-05 (5.3401e-03)	
[2024-07-02 14:43:44] [PID 0] [INFO] [Train] Epoch [84/500] [145/168]	 BT 0.347 (0.357)	 DT 0.011 (0.020)	 Loss 2.9312e-03 (5.3386e-03)	
[2024-07-02 14:43:46] [PID 0] [INFO] [Train] Epoch [84/500] [150/168]	 BT 0.345 (0.357)	 DT 0.019 (0.020)	 Loss 9.4299e-04 (5.3368e-03)	
[2024-07-02 14:43:48] [PID 0] [INFO] [Train] Epoch [84/500] [155/168]	 BT 0.351 (0.357)	 DT 0.010 (0.020)	 Loss 7.0224e-04 (5.3352e-03)	
[2024-07-02 14:43:49] [PID 0] [INFO] [Train] Epoch [84/500] [160/168]	 BT 0.365 (0.357)	 DT 0.010 (0.020)	 Loss 6.8900e-03 (5.3339e-03)	
[2024-07-02 14:43:51] [PID 0] [INFO] [Train] Epoch [84/500] [165/168]	 BT 0.355 (0.357)	 DT 0.010 (0.020)	 Loss 6.8943e-05 (5.3322e-03)	
[2024-07-02 14:44:58] [PID 0] [INFO] [Train] Epoch [86/500] [0/168]	 BT 1.137 (0.357)	 DT 0.749 (0.020)	 Loss 7.8893e-04 (5.3329e-03)	
[2024-07-02 14:45:00] [PID 0] [INFO] [Train] Epoch [86/500] [5/168]	 BT 0.351 (0.357)	 DT 0.011 (0.020)	 Loss 8.0358e-04 (5.3311e-03)	
[2024-07-02 14:45:01] [PID 0] [INFO] [Train] Epoch [86/500] [10/168]	 BT 0.357 (0.357)	 DT 0.010 (0.020)	 Loss 1.5696e-04 (5.3295e-03)	
[2024-07-02 14:45:03] [PID 0] [INFO] [Train] Epoch [86/500] [15/168]	 BT 0.352 (0.357)	 DT 0.010 (0.020)	 Loss 1.0205e-04 (5.3294e-03)	
[2024-07-02 14:45:05] [PID 0] [INFO] [Train] Epoch [86/500] [20/168]	 BT 0.342 (0.357)	 DT 0.015 (0.020)	 Loss 1.6331e-02 (5.3315e-03)	
[2024-07-02 14:45:07] [PID 0] [INFO] [Train] Epoch [86/500] [25/168]	 BT 0.318 (0.357)	 DT 0.011 (0.020)	 Loss 4.3161e-04 (5.3307e-03)	
[2024-07-02 14:45:09] [PID 0] [INFO] [Train] Epoch [86/500] [30/168]	 BT 0.329 (0.357)	 DT 0.011 (0.020)	 Loss 6.7143e-04 (5.3299e-03)	
[2024-07-02 14:45:11] [PID 0] [INFO] [Train] Epoch [86/500] [35/168]	 BT 0.360 (0.357)	 DT 0.012 (0.020)	 Loss 1.9896e-03 (5.3290e-03)	
[2024-07-02 14:45:13] [PID 0] [INFO] [Train] Epoch [86/500] [40/168]	 BT 0.330 (0.357)	 DT 0.012 (0.020)	 Loss 1.4624e-04 (5.3282e-03)	
[2024-07-02 14:45:15] [PID 0] [INFO] [Train] Epoch [86/500] [45/168]	 BT 0.366 (0.357)	 DT 0.023 (0.020)	 Loss 3.1807e-04 (5.3266e-03)	
[2024-07-02 14:45:16] [PID 0] [INFO] [Train] Epoch [86/500] [50/168]	 BT 0.331 (0.357)	 DT 0.012 (0.020)	 Loss 1.2217e-04 (5.3261e-03)	
[2024-07-02 14:45:18] [PID 0] [INFO] [Train] Epoch [86/500] [55/168]	 BT 0.351 (0.357)	 DT 0.011 (0.020)	 Loss 7.0672e-05 (5.3248e-03)	
[2024-07-02 14:45:20] [PID 0] [INFO] [Train] Epoch [86/500] [60/168]	 BT 0.339 (0.357)	 DT 0.015 (0.020)	 Loss 9.2497e-05 (5.3281e-03)	
[2024-07-02 14:45:22] [PID 0] [INFO] [Train] Epoch [86/500] [65/168]	 BT 0.331 (0.357)	 DT 0.011 (0.020)	 Loss 8.4457e-04 (5.3290e-03)	
[2024-07-02 14:45:24] [PID 0] [INFO] [Train] Epoch [86/500] [70/168]	 BT 0.347 (0.357)	 DT 0.011 (0.020)	 Loss 2.2093e-03 (5.3276e-03)	
[2024-07-02 14:45:26] [PID 0] [INFO] [Train] Epoch [86/500] [75/168]	 BT 0.314 (0.357)	 DT 0.011 (0.020)	 Loss 7.0121e-04 (5.3265e-03)	
[2024-07-02 14:45:27] [PID 0] [INFO] [Train] Epoch [86/500] [80/168]	 BT 0.361 (0.358)	 DT 0.010 (0.020)	 Loss 3.2312e-04 (5.3248e-03)	
[2024-07-02 14:45:29] [PID 0] [INFO] [Train] Epoch [86/500] [85/168]	 BT 0.357 (0.358)	 DT 0.011 (0.020)	 Loss 8.7525e-04 (5.3236e-03)	
[2024-07-02 14:45:31] [PID 0] [INFO] [Train] Epoch [86/500] [90/168]	 BT 0.373 (0.358)	 DT 0.011 (0.020)	 Loss 5.1533e-04 (5.3226e-03)	
[2024-07-02 14:45:33] [PID 0] [INFO] [Train] Epoch [86/500] [95/168]	 BT 0.361 (0.358)	 DT 0.011 (0.020)	 Loss 1.9708e-04 (5.3209e-03)	
[2024-07-02 14:45:35] [PID 0] [INFO] [Train] Epoch [86/500] [100/168]	 BT 0.349 (0.358)	 DT 0.012 (0.020)	 Loss 3.4009e-04 (5.3194e-03)	
[2024-07-02 14:45:37] [PID 0] [INFO] [Train] Epoch [86/500] [105/168]	 BT 0.347 (0.358)	 DT 0.011 (0.020)	 Loss 9.1824e-04 (5.3178e-03)	
[2024-07-02 14:45:39] [PID 0] [INFO] [Train] Epoch [86/500] [110/168]	 BT 0.352 (0.358)	 DT 0.012 (0.020)	 Loss 6.2993e-05 (5.3161e-03)	
[2024-07-02 14:45:41] [PID 0] [INFO] [Train] Epoch [86/500] [115/168]	 BT 0.357 (0.358)	 DT 0.012 (0.020)	 Loss 8.9613e-05 (5.3146e-03)	
[2024-07-02 14:45:42] [PID 0] [INFO] [Train] Epoch [86/500] [120/168]	 BT 0.351 (0.358)	 DT 0.011 (0.020)	 Loss 1.9797e-05 (5.3128e-03)	
[2024-07-02 14:45:44] [PID 0] [INFO] [Train] Epoch [86/500] [125/168]	 BT 0.329 (0.358)	 DT 0.011 (0.020)	 Loss 2.4654e-05 (5.3109e-03)	
[2024-07-02 14:45:46] [PID 0] [INFO] [Train] Epoch [86/500] [130/168]	 BT 0.342 (0.358)	 DT 0.011 (0.020)	 Loss 4.5883e-04 (5.3095e-03)	
[2024-07-02 14:45:48] [PID 0] [INFO] [Train] Epoch [86/500] [135/168]	 BT 0.355 (0.358)	 DT 0.011 (0.020)	 Loss 1.8715e-05 (5.3077e-03)	
[2024-07-02 14:45:50] [PID 0] [INFO] [Train] Epoch [86/500] [140/168]	 BT 0.361 (0.358)	 DT 0.010 (0.020)	 Loss 1.0851e-04 (5.3059e-03)	
[2024-07-02 14:45:51] [PID 0] [INFO] [Train] Epoch [86/500] [145/168]	 BT 0.357 (0.358)	 DT 0.015 (0.020)	 Loss 4.2622e-05 (5.3041e-03)	
[2024-07-02 14:45:53] [PID 0] [INFO] [Train] Epoch [86/500] [150/168]	 BT 0.351 (0.358)	 DT 0.014 (0.020)	 Loss 1.3146e-04 (5.3024e-03)	
[2024-07-02 14:45:55] [PID 0] [INFO] [Train] Epoch [86/500] [155/168]	 BT 0.358 (0.358)	 DT 0.011 (0.020)	 Loss 1.4385e-04 (5.3005e-03)	
[2024-07-02 14:45:57] [PID 0] [INFO] [Train] Epoch [86/500] [160/168]	 BT 0.359 (0.358)	 DT 0.014 (0.020)	 Loss 2.6185e-05 (5.2987e-03)	
[2024-07-02 14:45:59] [PID 0] [INFO] [Train] Epoch [86/500] [165/168]	 BT 0.336 (0.358)	 DT 0.011 (0.020)	 Loss 4.7509e-05 (5.2977e-03)	
[2024-07-02 14:47:00] [PID 0] [INFO] [Train] Epoch [88/500] [0/168]	 BT 1.209 (0.358)	 DT 0.860 (0.020)	 Loss 9.0113e-05 (5.2376e-03)	
[2024-07-02 14:47:02] [PID 0] [INFO] [Train] Epoch [88/500] [5/168]	 BT 0.353 (0.358)	 DT 0.010 (0.020)	 Loss 3.0808e-05 (5.2358e-03)	
[2024-07-02 14:47:04] [PID 0] [INFO] [Train] Epoch [88/500] [10/168]	 BT 0.351 (0.358)	 DT 0.011 (0.020)	 Loss 8.5516e-05 (5.2341e-03)	
[2024-07-02 14:47:06] [PID 0] [INFO] [Train] Epoch [88/500] [15/168]	 BT 0.346 (0.358)	 DT 0.012 (0.020)	 Loss 1.5450e-05 (5.2323e-03)	
[2024-07-02 14:47:07] [PID 0] [INFO] [Train] Epoch [88/500] [20/168]	 BT 0.331 (0.358)	 DT 0.011 (0.020)	 Loss 9.5837e-06 (5.2305e-03)	
[2024-07-02 14:47:09] [PID 0] [INFO] [Train] Epoch [88/500] [25/168]	 BT 0.331 (0.358)	 DT 0.011 (0.020)	 Loss 1.5570e-05 (5.2287e-03)	
[2024-07-02 14:47:11] [PID 0] [INFO] [Train] Epoch [88/500] [30/168]	 BT 0.343 (0.358)	 DT 0.010 (0.020)	 Loss 3.4015e-06 (5.2269e-03)	
[2024-07-02 14:47:12] [PID 0] [INFO] [Train] Epoch [88/500] [35/168]	 BT 0.360 (0.358)	 DT 0.011 (0.020)	 Loss 3.6305e-06 (5.2251e-03)	
[2024-07-02 14:47:14] [PID 0] [INFO] [Train] Epoch [88/500] [40/168]	 BT 0.349 (0.358)	 DT 0.015 (0.020)	 Loss 1.5682e-05 (5.2233e-03)	
[2024-07-02 14:47:16] [PID 0] [INFO] [Train] Epoch [88/500] [45/168]	 BT 0.342 (0.358)	 DT 0.010 (0.020)	 Loss 9.7390e-06 (5.2216e-03)	
[2024-07-02 14:47:18] [PID 0] [INFO] [Train] Epoch [88/500] [50/168]	 BT 0.329 (0.358)	 DT 0.010 (0.020)	 Loss 3.5735e-05 (5.2198e-03)	
[2024-07-02 14:47:19] [PID 0] [INFO] [Train] Epoch [88/500] [55/168]	 BT 0.358 (0.358)	 DT 0.010 (0.020)	 Loss 1.3019e-05 (5.2180e-03)	
[2024-07-02 14:47:21] [PID 0] [INFO] [Train] Epoch [88/500] [60/168]	 BT 0.334 (0.358)	 DT 0.010 (0.020)	 Loss 3.3665e-05 (5.2163e-03)	
[2024-07-02 14:47:23] [PID 0] [INFO] [Train] Epoch [88/500] [65/168]	 BT 0.345 (0.358)	 DT 0.011 (0.020)	 Loss 2.1304e-04 (5.2145e-03)	
[2024-07-02 14:47:25] [PID 0] [INFO] [Train] Epoch [88/500] [70/168]	 BT 0.346 (0.358)	 DT 0.010 (0.020)	 Loss 1.1008e-05 (5.2127e-03)	
[2024-07-02 14:47:26] [PID 0] [INFO] [Train] Epoch [88/500] [75/168]	 BT 0.366 (0.358)	 DT 0.016 (0.020)	 Loss 1.2637e-05 (5.2109e-03)	
[2024-07-02 14:47:28] [PID 0] [INFO] [Train] Epoch [88/500] [80/168]	 BT 0.348 (0.358)	 DT 0.013 (0.020)	 Loss 7.3282e-06 (5.2092e-03)	
[2024-07-02 14:47:30] [PID 0] [INFO] [Train] Epoch [88/500] [85/168]	 BT 0.339 (0.358)	 DT 0.012 (0.020)	 Loss 6.0841e-06 (5.2074e-03)	
[2024-07-02 14:47:32] [PID 0] [INFO] [Train] Epoch [88/500] [90/168]	 BT 0.451 (0.358)	 DT 0.010 (0.020)	 Loss 1.2496e-05 (5.2056e-03)	
[2024-07-02 14:47:34] [PID 0] [INFO] [Train] Epoch [88/500] [95/168]	 BT 0.377 (0.358)	 DT 0.012 (0.020)	 Loss 2.1010e-05 (5.2040e-03)	
[2024-07-02 14:47:35] [PID 0] [INFO] [Train] Epoch [88/500] [100/168]	 BT 0.351 (0.358)	 DT 0.015 (0.020)	 Loss 7.4803e-05 (5.2022e-03)	
[2024-07-02 14:47:37] [PID 0] [INFO] [Train] Epoch [88/500] [105/168]	 BT 0.315 (0.358)	 DT 0.011 (0.020)	 Loss 5.1696e-04 (5.2005e-03)	
[2024-07-02 14:47:39] [PID 0] [INFO] [Train] Epoch [88/500] [110/168]	 BT 0.371 (0.358)	 DT 0.015 (0.020)	 Loss 2.8193e-05 (5.1988e-03)	
[2024-07-02 14:47:41] [PID 0] [INFO] [Train] Epoch [88/500] [115/168]	 BT 0.344 (0.358)	 DT 0.011 (0.020)	 Loss 1.9415e-05 (5.1970e-03)	
[2024-07-02 14:47:42] [PID 0] [INFO] [Train] Epoch [88/500] [120/168]	 BT 0.337 (0.358)	 DT 0.011 (0.020)	 Loss 1.1973e-05 (5.1953e-03)	
[2024-07-02 14:47:44] [PID 0] [INFO] [Train] Epoch [88/500] [125/168]	 BT 0.327 (0.358)	 DT 0.011 (0.020)	 Loss 9.0821e-06 (5.1935e-03)	
[2024-07-02 14:47:46] [PID 0] [INFO] [Train] Epoch [88/500] [130/168]	 BT 0.330 (0.358)	 DT 0.010 (0.020)	 Loss 2.0000e-05 (5.1917e-03)	
[2024-07-02 14:47:48] [PID 0] [INFO] [Train] Epoch [88/500] [135/168]	 BT 0.370 (0.358)	 DT 0.011 (0.020)	 Loss 1.0835e-05 (5.1900e-03)	
[2024-07-02 14:47:49] [PID 0] [INFO] [Train] Epoch [88/500] [140/168]	 BT 0.331 (0.358)	 DT 0.011 (0.020)	 Loss 1.1082e-04 (5.1882e-03)	
