[2024-07-02 13:18:58] [PID 0] [INFO] Load config successfully!
[2024-07-02 13:18:58] [PID 0] [INFO] {'batch_size': 512,
 'ckpt_path': 'checkpoints/checkpoint_0',
 'comment': 'no comments',
 'continuous_train': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0.25,
 'dtype': torch.float32,
 'epochs': 500,
 'experiment_name': '0',
 'figs_train': 'figs/train_0.pdf',
 'head_output_dim': 2,
 'load_pretrain': True,
 'log_batch_freq': 5,
 'log_epoch_freq': 2,
 'log_file': 'logs/out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 8,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'negative': 'processed_negative',
                   'positive': 'processed_positive'},
 'radius': 20,
 'random_seed': 666,
 'ratio': 711,
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 5,
 'shuffle': True,
 'step': 0.2,
 'weight_decay': 0}
[2024-07-02 13:18:58] [PID 0] [INFO] Load data...
[2024-07-02 13:18:58] [PID 0] [INFO] Process...
[2024-07-02 13:19:35] [PID 0] [INFO] Total number of data points: 85590
[2024-07-02 13:19:35] [PID 0] [INFO] Number of batches per epoch: 168
[2024-07-02 13:19:39] [PID 0] [INFO] Train...
[2024-07-02 13:20:27] [PID 0] [INFO] [Train] Epoch [1/500] [125/168]	 BT 0.351 (0.380)	 DT 0.010 (0.028)	 Loss 5.6721e-02 (1.6944e-01)	
[2024-07-02 13:20:28] [PID 0] [INFO] [Train] Epoch [1/500] [130/168]	 BT 0.371 (0.378)	 DT 0.011 (0.027)	 Loss 1.0410e-01 (1.6560e-01)	
[2024-07-02 13:20:30] [PID 0] [INFO] [Train] Epoch [1/500] [135/168]	 BT 0.347 (0.378)	 DT 0.010 (0.027)	 Loss 3.6049e-02 (1.6179e-01)	
[2024-07-02 13:20:32] [PID 0] [INFO] [Train] Epoch [1/500] [140/168]	 BT 0.339 (0.377)	 DT 0.011 (0.026)	 Loss 1.1692e-01 (1.5917e-01)	
[2024-07-02 13:20:34] [PID 0] [INFO] [Train] Epoch [1/500] [145/168]	 BT 0.349 (0.376)	 DT 0.010 (0.026)	 Loss 5.0791e-02 (1.5598e-01)	
[2024-07-02 13:20:35] [PID 0] [INFO] [Train] Epoch [1/500] [150/168]	 BT 0.332 (0.375)	 DT 0.014 (0.025)	 Loss 5.1100e-02 (1.5256e-01)	
[2024-07-02 13:20:37] [PID 0] [INFO] [Train] Epoch [1/500] [155/168]	 BT 0.329 (0.375)	 DT 0.010 (0.025)	 Loss 5.8877e-02 (1.4957e-01)	
[2024-07-02 13:20:39] [PID 0] [INFO] [Train] Epoch [1/500] [160/168]	 BT 0.350 (0.374)	 DT 0.010 (0.025)	 Loss 4.0749e-02 (1.4613e-01)	
[2024-07-02 13:20:41] [PID 0] [INFO] [Train] Epoch [1/500] [165/168]	 BT 0.352 (0.373)	 DT 0.010 (0.024)	 Loss 7.2013e-02 (1.4315e-01)	
[2024-07-02 13:20:42] [PID 0] [INFO] [Train] Epoch [2/500] [0/168]	 BT 1.131 (0.376)	 DT 0.827 (0.029)	 Loss 2.1698e-02 (1.4164e-01)	
[2024-07-02 13:20:44] [PID 0] [INFO] [Train] Epoch [2/500] [5/168]	 BT 0.317 (0.375)	 DT 0.010 (0.029)	 Loss 2.0424e-02 (1.3876e-01)	
[2024-07-02 13:20:46] [PID 0] [INFO] [Train] Epoch [2/500] [10/168]	 BT 0.337 (0.374)	 DT 0.011 (0.029)	 Loss 4.9383e-02 (1.3605e-01)	
[2024-07-02 13:20:47] [PID 0] [INFO] [Train] Epoch [2/500] [15/168]	 BT 0.348 (0.373)	 DT 0.010 (0.028)	 Loss 4.4402e-02 (1.3317e-01)	
[2024-07-02 13:20:49] [PID 0] [INFO] [Train] Epoch [2/500] [20/168]	 BT 0.345 (0.373)	 DT 0.011 (0.028)	 Loss 4.0051e-02 (1.3054e-01)	
[2024-07-02 13:20:51] [PID 0] [INFO] [Train] Epoch [2/500] [25/168]	 BT 0.329 (0.372)	 DT 0.010 (0.027)	 Loss 3.5934e-02 (1.2824e-01)	
[2024-07-02 13:20:53] [PID 0] [INFO] [Train] Epoch [2/500] [30/168]	 BT 0.341 (0.371)	 DT 0.010 (0.027)	 Loss 1.7607e-02 (1.2563e-01)	
[2024-07-02 13:20:54] [PID 0] [INFO] [Train] Epoch [2/500] [35/168]	 BT 0.333 (0.371)	 DT 0.010 (0.027)	 Loss 4.7818e-02 (1.2369e-01)	
[2024-07-02 13:20:56] [PID 0] [INFO] [Train] Epoch [2/500] [40/168]	 BT 0.334 (0.370)	 DT 0.010 (0.026)	 Loss 4.0334e-02 (1.2201e-01)	
[2024-07-02 13:20:58] [PID 0] [INFO] [Train] Epoch [2/500] [45/168]	 BT 0.333 (0.369)	 DT 0.011 (0.026)	 Loss 5.8411e-02 (1.2009e-01)	
[2024-07-02 13:21:00] [PID 0] [INFO] [Train] Epoch [2/500] [50/168]	 BT 0.341 (0.369)	 DT 0.012 (0.026)	 Loss 5.9576e-02 (1.1822e-01)	
[2024-07-02 13:21:02] [PID 0] [INFO] [Train] Epoch [2/500] [55/168]	 BT 0.361 (0.369)	 DT 0.010 (0.026)	 Loss 5.4744e-02 (1.1652e-01)	
[2024-07-02 13:21:03] [PID 0] [INFO] [Train] Epoch [2/500] [60/168]	 BT 0.376 (0.369)	 DT 0.010 (0.025)	 Loss 3.6840e-02 (1.1490e-01)	
[2024-07-02 13:21:05] [PID 0] [INFO] [Train] Epoch [2/500] [65/168]	 BT 0.386 (0.369)	 DT 0.010 (0.025)	 Loss 3.0267e-02 (1.1337e-01)	
[2024-07-02 13:21:07] [PID 0] [INFO] [Train] Epoch [2/500] [70/168]	 BT 0.312 (0.368)	 DT 0.010 (0.025)	 Loss 1.6396e-02 (1.1166e-01)	
[2024-07-02 13:21:09] [PID 0] [INFO] [Train] Epoch [2/500] [75/168]	 BT 0.340 (0.368)	 DT 0.011 (0.024)	 Loss 4.7543e-03 (1.0996e-01)	
[2024-07-02 13:21:10] [PID 0] [INFO] [Train] Epoch [2/500] [80/168]	 BT 0.377 (0.368)	 DT 0.010 (0.024)	 Loss 4.1635e-02 (1.0898e-01)	
[2024-07-02 13:21:12] [PID 0] [INFO] [Train] Epoch [2/500] [85/168]	 BT 0.368 (0.367)	 DT 0.010 (0.024)	 Loss 4.4951e-02 (1.0747e-01)	
[2024-07-02 13:21:14] [PID 0] [INFO] [Train] Epoch [2/500] [90/168]	 BT 0.377 (0.367)	 DT 0.010 (0.024)	 Loss 3.9884e-02 (1.0604e-01)	
[2024-07-02 13:21:16] [PID 0] [INFO] [Train] Epoch [2/500] [95/168]	 BT 0.368 (0.367)	 DT 0.011 (0.024)	 Loss 3.4429e-02 (1.0460e-01)	
[2024-07-02 13:21:18] [PID 0] [INFO] [Train] Epoch [2/500] [100/168]	 BT 0.376 (0.367)	 DT 0.010 (0.023)	 Loss 1.9553e-02 (1.0360e-01)	
[2024-07-02 13:21:19] [PID 0] [INFO] [Train] Epoch [2/500] [105/168]	 BT 0.348 (0.367)	 DT 0.010 (0.023)	 Loss 5.7844e-02 (1.0238e-01)	
[2024-07-02 13:21:21] [PID 0] [INFO] [Train] Epoch [2/500] [110/168]	 BT 0.376 (0.367)	 DT 0.010 (0.023)	 Loss 2.8195e-02 (1.0115e-01)	
[2024-07-02 13:21:23] [PID 0] [INFO] [Train] Epoch [2/500] [115/168]	 BT 0.339 (0.367)	 DT 0.010 (0.023)	 Loss 2.0917e-02 (9.9893e-02)	
[2024-07-02 13:21:25] [PID 0] [INFO] [Train] Epoch [2/500] [120/168]	 BT 0.368 (0.367)	 DT 0.010 (0.023)	 Loss 4.0583e-02 (9.8805e-02)	
[2024-07-02 13:21:27] [PID 0] [INFO] [Train] Epoch [2/500] [125/168]	 BT 0.460 (0.367)	 DT 0.010 (0.023)	 Loss 4.5222e-02 (9.7938e-02)	
[2024-07-02 13:21:29] [PID 0] [INFO] [Train] Epoch [2/500] [130/168]	 BT 0.382 (0.367)	 DT 0.010 (0.023)	 Loss 5.9943e-02 (9.6895e-02)	
[2024-07-02 13:21:30] [PID 0] [INFO] [Train] Epoch [2/500] [135/168]	 BT 0.358 (0.367)	 DT 0.010 (0.022)	 Loss 3.1114e-02 (9.5812e-02)	
[2024-07-02 13:21:32] [PID 0] [INFO] [Train] Epoch [2/500] [140/168]	 BT 0.369 (0.367)	 DT 0.010 (0.022)	 Loss 1.1999e-02 (9.4773e-02)	
[2024-07-02 13:21:34] [PID 0] [INFO] [Train] Epoch [2/500] [145/168]	 BT 0.331 (0.367)	 DT 0.010 (0.022)	 Loss 3.8532e-02 (9.3765e-02)	
[2024-07-02 13:21:36] [PID 0] [INFO] [Train] Epoch [2/500] [150/168]	 BT 0.336 (0.367)	 DT 0.013 (0.022)	 Loss 2.8890e-02 (9.2707e-02)	
[2024-07-02 13:21:38] [PID 0] [INFO] [Train] Epoch [2/500] [155/168]	 BT 0.331 (0.367)	 DT 0.010 (0.022)	 Loss 4.1112e-02 (9.1633e-02)	
[2024-07-02 13:21:39] [PID 0] [INFO] [Train] Epoch [2/500] [160/168]	 BT 0.342 (0.366)	 DT 0.010 (0.022)	 Loss 1.7465e-02 (9.0589e-02)	
[2024-07-02 13:21:41] [PID 0] [INFO] [Train] Epoch [2/500] [165/168]	 BT 0.334 (0.366)	 DT 0.010 (0.022)	 Loss 3.1785e-02 (8.9603e-02)	
[2024-07-02 13:22:43] [PID 0] [INFO] [Train] Epoch [4/500] [0/168]	 BT 1.158 (0.364)	 DT 0.831 (0.022)	 Loss 1.1324e-02 (6.6884e-02)	
[2024-07-02 13:22:44] [PID 0] [INFO] [Train] Epoch [4/500] [5/168]	 BT 0.349 (0.364)	 DT 0.010 (0.022)	 Loss 2.7584e-02 (6.6331e-02)	
[2024-07-02 13:22:46] [PID 0] [INFO] [Train] Epoch [4/500] [10/168]	 BT 0.327 (0.364)	 DT 0.010 (0.022)	 Loss 2.5200e-02 (6.5845e-02)	
[2024-07-02 13:22:48] [PID 0] [INFO] [Train] Epoch [4/500] [15/168]	 BT 0.332 (0.364)	 DT 0.010 (0.021)	 Loss 1.5344e-02 (6.5362e-02)	
