mp-1202680,1
mp-557137,1
mp-1105411,1
mp-1232525,1
mp-2214606,1
mp-775021,1
mp-1206580,1
mp-859107,1
mp-4006,1
mp-688785,1
mp-569320,1
mp-28961,1
mp-550220,1
mp-757604,1
mp-504678,1
mp-1180771,1
mp-1232776,1
mp-4891,1
mp-558048,1
mp-1143241,1
mp-5884,1
mp-1232651,1
mp-22194,1
mp-1279554,1
mp-757449,1
mp-754980,1
mp-1232722,1
mp-1072982,1
mp-1208589,1
mp-1506,1
mp-6953,1
mp-34591,1
mp-1208436,1
mp-1217705,1
mp-1043501,1
mp-1262173,1
mp-756458,1
mp-1211638,1
mp-775855,1
mp-1193332,1
mp-1289193,1
mp-19213,1
mp-37621,1
mp-19918,1
mp-37509,1
mp-770541,1
mp-1974,1
mp-1232482,1
mp-1673,1
mp-1043952,1
mp-1232588,1
mp-1079055,1
mp-20422,1
mp-1285355,1
mp-1079799,1
mp-1043235,1
mp-770289,1
mp-1043356,1
mp-1187292,1
mp-1405,1
mp-1188992,1
mp-755303,1
mp-972521,1
mp-757866,1
mp-562042,1
mp-22173,1
mp-1277255,1
mp-1341686,1
mp-1043195,1
mp-1043192,1
mp-510708,1
mp-1191192,1
mp-1154487,1
mp-22136,1
mp-752409,1
mp-1080696,1
mp-22679,1
mp-755199,1
mp-1208462,1
mp-773173,1
mp-752749,1
mp-5802,1
mp-699908,1
mp-755749,1
mp-580126,1
mp-768729,1
mp-756281,1
mp-542750,1
mp-775132,1
mp-1353855,1
mp-21270,1
mp-775324,1
mp-1208672,1
mp-1232615,1
mp-775220,1
mp-555558,1
mp-1071768,1
mp-885579,1
mp-6480,1
mp-8546,1
mp-1250723,1
mp-1025491,1
mp-1101479,1
mp-1043245,1
mp-1208680,1
mp-6016,1
mp-562826,1
mp-569281,1
mp-1044639,1
mp-775490,1
mp-1043203,1
mp-1359941,1
mp-21213,1
mp-21856,1
mp-530381,1
mp-2321,1
mp-568143,1
mp-763217,1
mp-757013,1
mp-1211859,1
mp-1224086,1
mp-1043513,1
mp-1275198,1
mp-755536,1
mp-1276507,1
mp-1665344,1
mp-1291928,1
mp-754944,1
mp-1211470,1
mp-1213022,1
mp-1219196,1
mp-1188169,1
mp-29777,1
mp-1207705,1
mp-757422,1
mp-675305,1
mp-1295388,1
mp-1645095,1
mp-1232849,1
mp-1105628,1
mp-753876,1
mp-1157674,1
mp-22614,1
mp-18727,1
mp-22366,1
mp-1212108,1
mp-1195741,1
mp-5692,0.999999881
mp-1642632,0.999999881
mp-674336,0.999999881
mp-1048803,0.999999881
mp-1213112,0.999999881
mp-775276,0.999999881
mp-532094,0.999999881
mp-22124,0.999999881
mp-572987,0.999999762
mp-504552,0.999999762
mp-753447,0.999999762
mp-770563,0.999999642
mp-1103324,0.999999642
